"","ncaa_id","team","player_id","name","year","hometown","high_school","previous_school","height","position","jersey","url","season","year-clean","redshirt"
"1",8,"Alabama",8237,"Hannah Barber","Graduate Student","Homewood, Ala.",NA,"Homewood HS","5'6""","Guard","5","https://www.rolltide.com/sports/womens-basketball/roster/hannah-barber/8237","2022-23","Graduate Student",0
"2",8,"Alabama",8239,"Myra Gordon","Junior","Fort Worth, Texas",NA,"L.D. Bell HS","6'0""","Guard","15","https://www.rolltide.com/sports/womens-basketball/roster/myra-gordon/8239","2022-23","Junior",0
"3",37,"Auburn",18261,"Amoura Graves","Sophomore","Ponchatoula, La.",NA,"Ponchatoula HS","6'0""","Guard/Forward","0","https://www.auburntigers.com/sports/womens-basketball/roster/amoura-graves/18261","2022-23","Sophomore",0
"4",37,"Auburn",18268,"Mya Pratcher","Freshman","Memphis, Tenn.",NA,"Bartlett HS","6'1""","Forward","1","https://www.auburntigers.com/sports/womens-basketball/roster/mya-pratcher/18268","2022-23","Freshman",0
"5",37,"Auburn",18266,"Sania Wells","Senior","Moss Point, Miss.",NA,"East Central HS","5'7""","Guard","2","https://www.auburntigers.com/sports/womens-basketball/roster/sania-wells/18266","2022-23","Senior",0
"6",37,"Auburn",18270,"Kaitlyn Duhon","Freshman","Houston, Texas",NA,"Summer Creek HS","5'10""","Guard","4","https://www.auburntigers.com/sports/womens-basketball/roster/kaitlyn-duhon/18270","2022-23","Freshman",0
"7",37,"Auburn",18263,"Romi Levy","Junior","Herzliya, Israel",NA,"Hof Hasharon HS","6'3""","Forward","11","https://www.auburntigers.com/sports/womens-basketball/roster/romi-levy/18263","2022-23","Junior",0
"8",37,"Auburn",18259,"Mar'shaun Bostic","Sophomore","St. Louis, Mo.",NA,"Vashon HS","5'8""","Guard","12","https://www.auburntigers.com/sports/womens-basketball/roster/mar-shaun-bostic/18259","2022-23","Sophomore",0
"9",37,"Auburn",18264,"Carsen McFadden","Junior","Fairview, Texas",NA,"Lovejoy HS","5'8""","Guard","24","https://www.auburntigers.com/sports/womens-basketball/roster/carsen-mcfadden/18264","2022-23","Junior",0
"10",37,"Auburn",18274,"Kharyssa Richardson","Freshman","Douglasville, Ga.",NA,"New Manchester HS","6'2""","Forward","33","https://www.auburntigers.com/sports/womens-basketball/roster/kharyssa-richardson/18274","2022-23","Freshman",0
"11",30135,"California Baptist",8967,"Mia Morel","Sophomore","Madison, Wisc.",NA,"Madison Memorial HS","5'7""","Guard","10","https://www.cbulancers.com/sports/womens-basketball/roster/mia-morel/8967","2022-23","Sophomore",0
"12",30135,"California Baptist",8969,"Trinity San Antonio","Sophomore","Moreno Valley, Calif.",NA,"Centennial HS","5'10""","Guard","23","https://www.cbulancers.com/sports/womens-basketball/roster/trinity-san-antonio/8969","2022-23","Sophomore",0
"13",164,"UConn",12448,"Paige Bueckers","Junior","Hopkins, Minn.",NA,"Hopkins HS","5'11""","Guard","5","https://www.uconnhuskies.com/sports/womens-basketball/roster/paige-bueckers/12448","2022-23","Junior",0
"14",164,"UConn",12458,"Ice Brady","Freshman","San Diego, Calif.",NA,"Cathedral Catholic HS","6'3""","Forward","25","https://www.uconnhuskies.com/sports/womens-basketball/roster/ice-brady/12458","2022-23","Freshman",0
"15",164,"UConn",12457,"Ayanna Patterson","Freshman","Fort Wayne, Ind.",NA,"Homestead HS","6'2""","Forward","34","https://www.uconnhuskies.com/sports/womens-basketball/roster/ayanna-patterson/12457","2022-23","Freshman",0
"16",164,"UConn",12452,"Azzi Fudd","Sophomore","Arlington, Va.",NA,"St. John's College HS","5'11""","Guard","35","https://www.uconnhuskies.com/sports/womens-basketball/roster/azzi-fudd/12452","2022-23","Sophomore",0
"17",164,"UConn",12449,"Amari DeBerry","Sophomore","Williamsville, N.Y.",NA,"Williamsville South HS","6'5""","Forward","42","https://www.uconnhuskies.com/sports/womens-basketball/roster/amari-deberry/12449","2022-23","Sophomore",0
"18",164,"UConn",12453,"Aubrey Griffin","Redshirt Junior","Ossining, N.Y.",NA,"Ossining HS","6'1""","Forward","44","https://www.uconnhuskies.com/sports/womens-basketball/roster/aubrey-griffin/12453","2022-23","Junior",1
"19",732,"Utah",13314,"Lani White","Freshman","Irvine, Calif.",NA,"Mater Dei HS","5'11""","Guard","3","https://www.utahutes.com/sports/womens-basketball/roster/lani-white/13314","2022-23","Freshman",0
"20",732,"Utah",13306,"Gianna Kneepkens","Sophomore","Duluth, Minn.",NA,"Duluth Marshall HS","5'11""","Guard","5","https://www.utahutes.com/sports/womens-basketball/roster/gianna-kneepkens/13306","2022-23","Sophomore",0
"21",732,"Utah",13313,"Naya Ojukwu","Freshman","Meridian, Idaho",NA,"Mountain View HS","6'0""","Forward","13","https://www.utahutes.com/sports/womens-basketball/roster/naya-ojukwu/13313","2022-23","Freshman",0
"22",732,"Utah",13305,"Jenna Johnson","Sophomore","Medina, Minn.",NA,"Wayzata HS","6'2""","Forward","22","https://www.utahutes.com/sports/womens-basketball/roster/jenna-johnson/13305","2022-23","Sophomore",0
"23",732,"Utah",13308,"Kennady McQueen","Sophomore","Henefer, Utah",NA,"North Summit HS","5'10""","Guard","24","https://www.utahutes.com/sports/womens-basketball/roster/kennady-mcqueen/13308","2022-23","Sophomore",0
"24",732,"Utah",13315,"Teya Sidberry","Freshman","Salt Lake City, Utah",NA,"Judge Memorial HS","6'1""","Forward","32","https://www.utahutes.com/sports/womens-basketball/roster/teya-sidberry/13315","2022-23","Freshman",0
